Item,Element,Y2011
Coconuts - Incl Copra,Food supply quantity (kg/capita/yr),2.99
Coconuts - Incl Copra,Food supply (kcal/capita/day),11
Coconuts - Incl Copra,Protein supply quantity (g/capita/day),0.12
Coconuts - Incl Copra,Fat supply quantity (g/capita/day),1.01
Sesame seed,Production,4651
Sesame seed,Import Quantity,1386
Sesame seed,Stock Variation,-355
Sesame seed,Export Quantity,1368
Sesame seed,Domestic supply quantity,4314
Sesame seed,Feed,4
Sesame seed,Seed,62
Sesame seed,Waste,174
Sesame seed,Processing,2544
Sesame seed,Other uses,75
Sesame seed,Food,1464
Sesame seed,Food supply quantity (kg/capita/yr),0.21
Sesame seed,Food supply (kcal/capita/day),3
Sesame seed,Protein supply quantity (g/capita/day),0.1
Sesame seed,Fat supply quantity (g/capita/day),0.3
Palm kernels,Production,13357
Palm kernels,Import Quantity,17
Palm kernels,Stock Variation,9
Palm kernels,Export Quantity,17
Palm kernels,Domestic supply quantity,13366
Palm kernels,Feed,0
Palm kernels,Waste,8
Palm kernels,Processing,13249
Palm kernels,Other uses,103
Palm kernels,Food,6
Palm kernels,Food supply quantity (kg/capita/yr),0
Palm kernels,Food supply (kcal/capita/day),0
Palm kernels,Protein supply quantity (g/capita/day),0
Palm kernels,Fat supply quantity (g/capita/day),0
Olives (including preserved),Production,19108
Olives (including preserved),Import Quantity,1002
Olives (including preserved),Stock Variation,-230
Olives (including preserved),Export Quantity,980
Olives (including preserved),Domestic supply quantity,18899
Olives (including preserved),Waste,290
Olives (including preserved),Processing,15974
Olives (including preserved),Other uses,9
Olives (including preserved),Food,2628
Olives (including preserved),Food supply quantity (kg/capita/yr),0.38
Olives (including preserved),Food supply (kcal/capita/day),1
Olives (including preserved),Protein supply quantity (g/capita/day),0.01
Olives (including preserved),Fat supply quantity (g/capita/day),0.15
"Oilcrops, Other",Production,12341
"Oilcrops, Other",Import Quantity,3536
"Oilcrops, Other",Stock Variation,-957
"Oilcrops, Other",Export Quantity,4209
"Oilcrops, Other",Domestic supply quantity,10710
"Oilcrops, Other",Feed,2071
"Oilcrops, Other",Seed,224
"Oilcrops, Other",Waste,403
"Oilcrops, Other",Processing,8217
"Oilcrops, Other",Other uses,1132
"Oilcrops, Other",Food,964
"Oilcrops, Other",Food supply quantity (kg/capita/yr),0.14
"Oilcrops, Other",Food supply (kcal/capita/day),1
"Oilcrops, Other",Protein supply quantity (g/capita/day),0.08
"Oilcrops, Other",Fat supply quantity (g/capita/day),0.09
Soyabean Oil,Production,41831
Soyabean Oil,Import Quantity,10532
Soyabean Oil,Stock Variation,-261
Soyabean Oil,Export Quantity,10559
Soyabean Oil,Domestic supply quantity,41544
Soyabean Oil,Feed,22
Soyabean Oil,Waste,211
Soyabean Oil,Processing,12
Soyabean Oil,Other uses,16651
Soyabean Oil,Food,24648
Soyabean Oil,Food supply quantity (kg/capita/yr),3.6
Soyabean Oil,Food supply (kcal/capita/day),85
Soyabean Oil,Protein supply quantity (g/capita/day),0.01
Soyabean Oil,Fat supply quantity (g/capita/day),9.65
Groundnut Oil,Production,5374
Groundnut Oil,Import Quantity,257
Groundnut Oil,Stock Variation,-3
Groundnut Oil,Export Quantity,241
Groundnut Oil,Domestic supply quantity,5387
Groundnut Oil,Feed,
Groundnut Oil,Waste,2
Groundnut Oil,Processing,0
Groundnut Oil,Other uses,1193
Groundnut Oil,Food,4191
Groundnut Oil,Food supply quantity (kg/capita/yr),0.61
Groundnut Oil,Food supply (kcal/capita/day),15
Groundnut Oil,Protein supply quantity (g/capita/day),0
Groundnut Oil,Fat supply quantity (g/capita/day),1.67
Sunflowerseed Oil,Production,13360
Sunflowerseed Oil,Import Quantity,6983
Sunflowerseed Oil,Stock Variation,-396
Sunflowerseed Oil,Export Quantity,7688
Sunflowerseed Oil,Domestic supply quantity,12259
