Item,Element,Y2011
Treenuts,Seed,0
Treenuts,Waste,457
Treenuts,Processing,0
Treenuts,Other uses,68
Treenuts,Food,15060
Treenuts,Food supply quantity (kg/capita/yr),2.2
Treenuts,Food supply (kcal/capita/day),15
Treenuts,Protein supply quantity (g/capita/day),0.39
Treenuts,Fat supply quantity (g/capita/day),1.14
Oilcrops,Production,549152
Oilcrops,Import Quantity,126432
Oilcrops,Stock Variation,-8673
Oilcrops,Export Quantity,127577
Oilcrops,Domestic supply quantity,539307
Oilcrops,Feed,34661
Oilcrops,Seed,11068
Oilcrops,Waste,12964
Oilcrops,Processing,421868
Oilcrops,Other uses,13458
Oilcrops,Food,47973
Oilcrops,Food supply quantity (kg/capita/yr),7.01
Oilcrops,Food supply (kcal/capita/day),57
Oilcrops,Protein supply quantity (g/capita/day),2.72
Oilcrops,Fat supply quantity (g/capita/day),4.18
Vegetable Oils,Production,158746
Vegetable Oils,Import Quantity,79718
Vegetable Oils,Stock Variation,-1455
Vegetable Oils,Export Quantity,82933
Vegetable Oils,Domestic supply quantity,154062
Vegetable Oils,Feed,773
Vegetable Oils,Waste,567
Vegetable Oils,Processing,438
Vegetable Oils,Other uses,74075
Vegetable Oils,Food,79507
Vegetable Oils,Food supply quantity (kg/capita/yr),11.61
Vegetable Oils,Food supply (kcal/capita/day),278
Vegetable Oils,Protein supply quantity (g/capita/day),0.03
Vegetable Oils,Fat supply quantity (g/capita/day),31.42
Vegetables,Production,1082283
Vegetables,Import Quantity,65496
Vegetables,Stock Variation,244
Vegetables,Export Quantity,72122
Vegetables,Domestic supply quantity,1075893
Vegetables,Feed,52604
Vegetables,Seed,113
Vegetables,Waste,92399
Vegetables,Processing,605
Vegetables,Other uses,536
Vegetables,Food,930001
Vegetables,Food supply quantity (kg/capita/yr),135.81
Vegetables,Food supply (kcal/capita/day),93
Vegetables,Protein supply quantity (g/capita/day),4.77
Vegetables,Fat supply quantity (g/capita/day),0.79
Fruits - Excluding Wine,Production,631787
Fruits - Excluding Wine,Import Quantity,123182
Fruits - Excluding Wine,Stock Variation,1836
Fruits - Excluding Wine,Export Quantity,121264
Fruits - Excluding Wine,Domestic supply quantity,635525
Fruits - Excluding Wine,Feed,5497
Fruits - Excluding Wine,Waste,60083
Fruits - Excluding Wine,Processing,55251
Fruits - Excluding Wine,Other uses,1881
Fruits - Excluding Wine,Food,513761
Fruits - Excluding Wine,Food supply quantity (kg/capita/yr),75.03
Fruits - Excluding Wine,Food supply (kcal/capita/day),94
Fruits - Excluding Wine,Protein supply quantity (g/capita/day),1.1
Fruits - Excluding Wine,Fat supply quantity (g/capita/day),0.6
Stimulants,Production,18412
Stimulants,Import Quantity,20138
Stimulants,Stock Variation,561
Stimulants,Export Quantity,20641
Stimulants,Domestic supply quantity,18456
Stimulants,Feed,12
Stimulants,Waste,336
Stimulants,Processing,45
Stimulants,Other uses,390
Stimulants,Food,17843
Stimulants,Food supply quantity (kg/capita/yr),2.61
Stimulants,Food supply (kcal/capita/day),7
Stimulants,Protein supply quantity (g/capita/day),0.52
Stimulants,Fat supply quantity (g/capita/day),0.43
Spices,Production,9317
Spices,Import Quantity,2259
Spices,Stock Variation,-25
Spices,Export Quantity,2296
Spices,Domestic supply quantity,9250
Spices,Feed,0
Spices,Waste,232
Spices,Other uses,328
Spices,Food,8718
Spices,Food supply quantity (kg/capita/yr),1.27
Spices,Food supply (kcal/capita/day),11
Spices,Protein supply quantity (g/capita/day),0.39
Spices,Fat supply quantity (g/capita/day),0.35
Alcoholic Beverages,Production,290351
Alcoholic Beverages,Import Quantity,35748
Alcoholic Beverages,Stock Variation,4050
Alcoholic Beverages,Export Quantity,39324
Alcoholic Beverages,Domestic supply quantity,290815
Alcoholic Beverages,Waste,1699
Alcoholic Beverages,Processing,3239
Alcoholic Beverages,Other uses,28070
Alcoholic Beverages,Food,257967
Alcoholic Beverages,Food supply quantity (kg/capita/yr),37.67
Alcoholic Beverages,Food supply (kcal/capita/day),69
Alcoholic Beverages,Protein supply quantity (g/capita/day),0.37
Alcoholic Beverages,Fat supply quantity (g/capita/day),0
Meat,Production,295984
Meat,Import Quantity,40760
Meat,Stock Variation,163
Meat,Export Quantity,43816
Meat,Domestic supply quantity,293098
Meat,Feed,74
Meat,Waste,878
Meat,Processing,454
Meat,Other uses,1791
Meat,Food,290078
Meat,Food supply quantity (kg/capita/yr),42.36
Meat,Food supply (kcal/capita/day),231
Meat,Protein supply quantity (g/capita/day),14.26
Meat,Fat supply quantity (g/capita/day),18.8
Offals,Production,18078
Offals,Import Quantity,3893
Offals,Stock Variation,40
Offals,Export Quantity,4770
Offals,Domestic supply quantity,17241
Offals,Feed,1041
Offals,Waste,70
Offals,Processing,0
Offals,Other uses,905
Offals,Food,15250
Offals,Food supply quantity (kg/capita/yr),2.23
Offals,Food supply (kcal/capita/day),7
Offals,Protein supply quantity (g/capita/day),1.09
Offals,Fat supply quantity (g/capita/day),0.21
Animal fats,Production,36529
Animal fats,Import Quantity,8940
Animal fats,Stock Variation,-243
Animal fats,Export Quantity,9277
Animal fats,Domestic supply quantity,35947
Animal fats,Feed,2063
Animal fats,Waste,142
Animal fats,Processing,217
Animal fats,Other uses,11146
Animal fats,Food,22622
Animal fats,Food supply quantity (kg/capita/yr),3.3
Animal fats,Food supply (kcal/capita/day),61
Animal fats,Protein supply quantity (g/capita/day),0.08
Animal fats,Fat supply quantity (g/capita/day),6.78
Eggs,Production,70399
Eggs,Import Quantity,2164
Eggs,Stock Variation,5
Eggs,Export Quantity,2464
Eggs,Domestic supply quantity,70106
Eggs,Feed,73
Eggs,Seed,4709
Eggs,Waste,3252
Eggs,Processing,0
Eggs,Other uses,777
Eggs,Food,61304
Eggs,Food supply quantity (kg/capita/yr),8.95
Eggs,Food supply (kcal/capita/day),35
Eggs,Protein supply quantity (g/capita/day),2.72
Eggs,Fat supply quantity (g/capita/day),2.46
Milk - Excluding Butter,Production,738107
Milk - Excluding Butter,Import Quantity,102994
Milk - Excluding Butter,Stock Variation,363
Milk - Excluding Butter,Export Quantity,107240
Milk - Excluding Butter,Domestic supply quantity,734233
Milk - Excluding Butter,Feed,78637
Milk - Excluding Butter,Waste,18221
Milk - Excluding Butter,Processing,26
Milk - Excluding Butter,Other uses,16379
Milk - Excluding Butter,Food,621333
Milk - Excluding Butter,Food supply quantity (kg/capita/yr),90.73
Milk - Excluding Butter,Food supply (kcal/capita/day),139
Milk - Excluding Butter,Protein supply quantity (g/capita/day),8.26
Milk - Excluding Butter,Fat supply quantity (g/capita/day),7.59
"Fish, Seafood",Production,153001
"Fish, Seafood",Import Quantity,60562
"Fish, Seafood",Stock Variation,-623
"Fish, Seafood",Export Quantity,55802
"Fish, Seafood",Domestic supply quantity,157128
"Fish, Seafood",Feed,23463
"Fish, Seafood",Seed,466
"Fish, Seafood",Other uses,3588
"Fish, Seafood",Food,129609
"Fish, Seafood",Food supply quantity (kg/capita/yr),18.93
"Fish, Seafood",Food supply (kcal/capita/day),34
"Fish, Seafood",Protein supply quantity (g/capita/day),5.23
"Fish, Seafood",Fat supply quantity (g/capita/day),1.19
"Aquatic Products, Other",Production,23144
"Aquatic Products, Other",Import Quantity,700
"Aquatic Products, Other",Stock Variation,0
"Aquatic Products, Other",Export Quantity,602
"Aquatic Products, Other",Domestic supply quantity,23240
"Aquatic Products, Other",Feed,159
"Aquatic Products, Other",Seed,0
"Aquatic Products, Other",Other uses,8800
"Aquatic Products, Other",Food,14278
"Aquatic Products, Other",Food supply quantity (kg/capita/yr),2.08
"Aquatic Products, Other",Food supply (kcal/capita/day),2
"Aquatic Products, Other",Protein supply quantity (g/capita/day),0.16
"Aquatic Products, Other",Fat supply quantity (g/capita/day),0.01
Miscellaneous,Production,
Miscellaneous,Import Quantity,893
Miscellaneous,Stock Variation,-1
Miscellaneous,Export Quantity,787
Miscellaneous,Domestic supply quantity,109
Miscellaneous,Waste,1
Miscellaneous,Other uses,0
Miscellaneous,Food,662
Miscellaneous,Food supply (kcal/capita/day),2
Miscellaneous,Protein supply quantity (g/capita/day),0.08
Miscellaneous,Fat supply quantity (g/capita/day),0.02
